Collecting...
Analyzing...
Found 785 different typed gadgets
Collected gadgets saved in ls64.collected
Verifying...
Found 660 different verified gadgets
Verified gadgets saved in ls64.verified
         44239686 function calls (44001934 primitive calls) in 50.960 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11657    0.025    0.000    0.069    0.000 stmt.py:23(expressions)
        3    0.002    0.001    0.069    0.023 base.py:1(<module>)
      354    0.002    0.000    0.068    0.000 paged_memory.py:964(permissions)
        1    0.000    0.000    0.068    0.068 ops.py:1(<module>)
      420    0.011    0.000    0.067    0.000 paged_memory.py:475(_initialize_page)
      985    0.018    0.000    0.067    0.000 irop.py:179(__init__)
      406    0.002    0.000    0.066    0.000 symbolic_memory.py:982(get_unconstrained_bytes)
     6850    0.029    0.000    0.066    0.000 lex.py:305(token)
454270/446962    0.057    0.000    0.066    0.000 {len}
      299    0.002    0.000    0.066    0.000 operations.py:424(bitwise_xor_simplifier)
      183    0.004    0.000    0.065    0.000 symbolic_memory.py:432(_fill_missing)
     6533    0.011    0.000    0.065    0.000 sim_action.py:21(__init__)
     9274    0.004    0.000    0.065    0.000 bool.py:30(is_false)
      411    0.002    0.000    0.065    0.000 solver.py:285(Unconstrained)
   103402    0.065    0.000    0.065    0.000 {zip}
      429    0.005    0.000    0.064    0.000 solver.py:303(BVS)
    22371    0.047    0.000    0.064    0.000 paged_memory.py:714(_containing_pages)
     5740    0.013    0.000    0.063    0.000 expr.py:519(_from_c)
    31474    0.025    0.000    0.063    0.000 expr.py:211(_from_c)
   100444    0.041    0.000    0.063    0.000 {hasattr}
      709    0.002    0.000    0.062    0.000 posix.py:413(<dictcomp>)
     4254    0.006    0.000    0.062    0.000 posix.py:403(memocopy)
     9351    0.008    0.000    0.062    0.000 bool.py:144(is_false)
    52838    0.040    0.000    0.061    0.000 operations.py:67(<genexpr>)
     2448    0.008    0.000    0.060    0.000 eager_resolution_mixin.py:2(_concrete_value)
     4677    0.005    0.000    0.060    0.000 unicorn.py:445(_hook_mem_access_cb)
      199    0.001    0.000    0.060    0.000 autoimport.py:30(auto_import_modules)
        1    0.005    0.005    0.059    0.059 GadgetsCollector.py:35(filter_unsafe)
     7145    0.039    0.000    0.059    0.000 sim_event.py:6(__init__)
    50001    0.033    0.000    0.059    0.000 coloredstring.py:42(__new__)
    64278    0.026    0.000    0.059    0.000 sim_state.py:217(inspect)
        1    0.001    0.001    0.059    0.059 __init__.py:85(<module>)
    80750    0.058    0.000    0.058    0.000 __init__.py:1346(getEffectiveLevel)
        1    0.001    0.001    0.058    0.058 procedure_dict.py:1(<module>)
        1    0.003    0.003    0.058    0.058 __init__.py:33(<module>)
      354    0.001    0.000    0.057    0.000 sim_state.py:180(addr)
        1    0.003    0.003    0.057    0.057 project.py:1(<module>)
22014/21990    0.017    0.000    0.056    0.000 {all}
     2127    0.006    0.000    0.055    0.000 file.py:169(copy)
    45096    0.033    0.000    0.055    0.000 sim_action.py:49(_make_object)
      347    0.005    0.000    0.055    0.000 z3.py:722(__call__)
15838/15801    0.036    0.000    0.055    0.000 memory.py:365(_resolve_location_name)
   121631    0.055    0.000    0.055    0.000 __init__.py:396(<genexpr>)
       15    0.001    0.000    0.055    0.004 autoimport.py:7(auto_import_packages)
     4677    0.013    0.000    0.055    0.000 GadgetsCollector.py:171(hook_mem_access)
        1    0.001    0.001    0.055    0.055 refactor.py:9(<module>)
        1    0.001    0.001    0.055    0.055 factory.py:1(<module>)
     4961    0.008    0.000    0.054    0.000 paged_memory.py:70(store_mo)
      825    0.028    0.000    0.054    0.000 GadgetsCollector.py:194(checkReadMemGadget)
     9546    0.054    0.000    0.054    0.000 {cPickle.dumps}
      197    0.053    0.000    0.053    0.000 z3core.py:4112(Z3_solver_assert)
    15607    0.026    0.000    0.053    0.000 sim_state.py:325(add_constraints)
     4612    0.008    0.000    0.053    0.000 memory.py:391(_convert_to_ast)
     9351    0.014    0.000    0.053    0.000 __init__.py:272(is_false)
        1    0.001    0.001    0.053    0.053 paged_memory.py:1(<module>)
    99150    0.038    0.000    0.053    0.000 operations.py:82(<genexpr>)
        1    0.001    0.001    0.053    0.053 manager.py:1(<module>)
   218842    0.053    0.000    0.053    0.000 sim_state.py:292(has_plugin)
      429    0.003    0.000    0.052    0.000 bv.py:173(BVS)
    13836    0.017    0.000    0.052    0.000 const.py:27(_from_c)
     9575    0.012    0.000    0.051    0.000 expr.py:51(result_size)
        1    0.000    0.000    0.051    0.051 requirements.py:4(<module>)
        1    0.001    0.001    0.051    0.051 __init__.py:6(<module>)
      483    0.009    0.000    0.050    0.000 decorator.py:166(make)
    16356    0.017    0.000    0.050    0.000 operations.py:649(length_same_check)
     5434    0.002    0.000    0.050    0.000 api.py:171(_typeof)
        1    0.001    0.001    0.050    0.050 loader.py:1(<module>)
     5118    0.015    0.000    0.049    0.000 _abcoll.py:548(update)
    29283    0.033    0.000    0.049    0.000 solver.py:109(_concrete_value)
       13    0.000    0.000    0.048    0.004 ccall.py:16(calc_paritybit)
        8    0.000    0.000    0.048    0.006 api.py:153(_typeof_locked)
       25    0.000    0.000    0.047    0.002 ccall.py:887(amd64g_calculate_rflags_c)
        8    0.000    0.000    0.047    0.006 cparser.py:475(parse_type)
       25    0.000    0.000    0.047    0.002 ccall.py:780(pc_calculate_rdata_c)
        8    0.000    0.000    0.047    0.006 cparser.py:478(parse_type_and_quals)
     5819    0.005    0.000    0.047    0.000 expr.py:681(get_op_retty)
     7171    0.009    0.000    0.047    0.000 operations.py:393(_flatten_simplifier)
        1    0.000    0.000    0.047    0.047 elf.py:412(__register_segments)
      935    0.041    0.000    0.047    0.000 libvex.py:48(create_irsb)
      185    0.000    0.000    0.046    0.000 sre_compile.py:552(_code)
      176    0.000    0.000    0.046    0.000 irop.py:477(_op_extract)
      720    0.006    0.000    0.046    0.000 storable.py:12(make_uuid)
      616    0.001    0.000    0.045    0.000 utils.py:22(struct_parse)
        1    0.000    0.000    0.045    0.045 loop_seer.py:1(<module>)
        1    0.000    0.000    0.044    0.044 elf.py:437(__register_dyn)
     5587    0.011    0.000    0.044    0.000 __init__.py:451(__init__)
2187/2178    0.007    0.000    0.044    0.000 pickle.py:538(save_tuple)
      616    0.001    0.000    0.044    0.000 core.py:182(parse_stream)
    43610    0.023    0.000    0.043    0.000 Arch.py:115(rand)
     5158    0.005    0.000    0.043    0.000 api.py:233(new)
        2    0.000    0.000    0.043    0.022 elf.py:542(__register_relocs)
 1133/616    0.009    0.000    0.043    0.000 core.py:634(_parse)
      709    0.004    0.000    0.043    0.000 solver.py:375(copy)
  375/234    0.000    0.000    0.042    0.000 operations.py:605(<genexpr>)
     5819    0.008    0.000    0.042    0.000 expr.py:803(op_arg_types)
   130871    0.041    0.000    0.042    0.000 memory.py:313(category)
      710    0.007    0.000    0.041    0.000 posix.py:145(set_state)
      256    0.001    0.000    0.041    0.000 sections.py:93(get_symbol)
        1    0.001    0.001    0.041    0.041 fixer_util.py:1(<module>)
    68423    0.041    0.000    0.041    0.000 {method 'write' of 'file' objects}
    58060    0.041    0.000    0.041    0.000 {range}
    69838    0.041    0.000    0.041    0.000 {method 'read' of 'file' objects}
      825    0.008    0.000    0.040    0.000 GadgetsCollector.py:46(checkLoadConstGadget)
   263908    0.040    0.000    0.040    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.040    0.040 pygram.py:4(<module>)
      242    0.003    0.000    0.040    0.000 decorator.py:246(decorator)
        2    0.000    0.000    0.039    0.020 driver.py:116(load_grammar)
        2    0.000    0.000    0.039    0.020 grammar.py:105(load)
